key,en,zh-TW
actions.copy,Copy,複製
actions.copyUrl,Copy URL,複製 URL
actions.actions,Actions,操作
actions.add,Add,新增
actions.addVariable,Add Variable,新增變數
actions.addFeature,Add {feature},新增 {feature}
actions.addFlowReply,Add flow reply,新增流程回覆
actions.addMore,Add more,新增更多
actions.addTag,Add Tag,新增標籤
actions.addAction,Add Action,新增動作
actions.addCondition,Add Condition,新增條件
actions.addTextReply,Add text reply,新增文字回覆
actions.markAsFollowUp,Mark as Follow Up,標記為待後續跟進
actions.removeFromFollowUp,Remove from Follow Up,移除
actions.markAsUnread,Mark as Unread,標記為未讀
actions.archive,Archive,封存
actions.unarchive,Unarchive,取消封存
actions.archiveConversation,Archive Conversation,封存對話
actions.assign,Assign,指派
actions.assignConversation,Assign Conversation,指派對話
actions.back,Back,返回
actions.billing,Billing,帳務
actions.redeem,Redeem,兌換
actions.blockContact,Block Contact,封鎖聯絡人
actions.unblockContact,Unblock Contact,解除封鎖聯絡人
actions.undo,Undo,撤銷
actions.redo,Redo,重做
actions.cancel,Cancel,取消
actions.clear,Clear,清除
actions.clearCustomField,Clear Custom Field,清除自訂欄位
actions.collapse,Collapse,折疊
actions.expand,Expand,展開
actions.confirm,Confirm,確認
actions.connect,Connect,連接
actions.continue,Continue,繼續
actions.create,Create,建立
actions.loading,Loading...,載入中...
actions.createFeature,Create {feature},建立{feature}
actions.delete,Delete,刪除
actions.deleteContact,Delete Contact,刪除聯絡人
actions.disableBot,Disable Bot,停用機器人
actions.disconnect,Disconnect,中斷連線
actions.download,Download,下載
actions.edit,Edit,編輯
actions.editFeature,Edit {feature},編輯 {feature}
actions.enableBot,Enable Bot,啟用機器人
actions.export,Export,匯出
actions.getEmbedCode,Get Embed Code,取得嵌入代碼
actions.getID,Get ID,取得 ID
actions.getTools,Get Tools,取得工具
actions.import,Import,匯入
actions.exportContacts,Export Contacts,匯出聯絡人
actions.filter,Filter,篩選條件
actions.selectFile,Select file,選擇檔案
actions.insertLink,Insert link,插入連結
actions.addNew,Add new,新增
actions.send,Send,傳送
actions.loginWithMagicLink,Login with Magic Link,使用 Magic Link 登入
actions.manage,Manage,管理
actions.admin,Admin,管理員
actions.more,More,更多
actions.moreOptions,More options,更多選項
actions.moreSettings,More settings,更多設定
actions.openMenu,Open menu,開啟選單
actions.openWebchat,Open Webchat,開啟網路聊天
actions.removeTag,Remove Tag,移除標籤
actions.rename,Rename,重新命名
actions.reset,Reset,重設
actions.save,Save,儲存
actions.selectAll,Select all,全選
actions.selectRow,Select row,選擇行
actions.sendFlow,Send Flow,傳送流程
actions.sendMessage,Send Message,傳送訊息
actions.setCustomField,Set Custom Field,設定自訂欄位
actions.synchronize,Synchronize,同步
actions.syncMetaCatalog,Sync Meta Catalog,同步 Meta 目錄
actions.testNow,Test Now,立即測試
actions.toggle,Toggle,切換
actions.toggleTheme,Toggle theme,切換主題
actions.transferConversationToBot,Transfer Conversation to Bot,將對話轉移到機器人
actions.update,Update,更新
actions.updatePayment,Update payment,更新付款
actions.upgradePlan,Upgrade plan,升級方案
actions.upgradeToPro,Upgrade to Pro,升級到專業版
actions.uploadFile,Upload File,上傳檔案
actions.view,View,檢視
actions.viewAnalytics,View Analytics,檢視分析
actions.duplicate,Duplicate,重複
actions.getDraftLink,Get Draft Link,取得草稿連結
actions.getPublishedLink,Get Published Link,取得已發布的連結
actions.getMessengerAdsJson,Get JSON for Messenger Ads,取得 Messenger 廣告用 JSON
actions.getMessengerAdPayload,Get payload for Messenger Ad,取得 Messenger 廣告酬載
actions.ok,OK,好的
actions.next,Next,下一頁
actions.prev,Prev,上一頁
actions.moveEarlier,Move Earlier,往前移動
actions.moveLater,Move Later,往後移動
actions.analytics,Analytics,分析
actions.deleteAnalytics,Delete Analytics,刪除分析資料
actions.flowVersions,Flow Versions,流程版本
actions.revertToPublished,Revert to Published,還原為已發布版本
actions.search,Search,搜尋
actions.pleaseSelect,Please select,請選擇
actions.noRecordFound,No record found.,找不到記錄。
actions.typeMessage,Type a message,輸入訊息
actions.enterText,Enter text,輸入文字
actions.enterFieldAndPressEnter,Enter {field} and press Enter,輸入 {field} 並按 Enter
actions.addAnother,Add another...,新增另一個...
actions.messagePlaceholder,Message...,訊息...
actions.signOut,Sign Out,登出
actions.backToSignIn,Back to sign in,返回登入
actions.connectFeature,Connect {feature},連接 {feature}
actions.scanQRCode,Scan me with your camera,使用相機掃描 QR Code
actions.inviteFeature,Invite {feature},邀請 {feature}
actions.joinTheTeam,Join the team,加入團隊
actions.chooseChannel,Choose Channel,選擇頻道
actions.chooseSubaction,Choose Subaction,選擇子操作
actions.resend,Resend,重新傳送
actions.publish,Publish,發佈
actions.setStartNode,Set as Start Node,設定為起始節點
actions.getNodeId,Get Node ID,取得節點 ID
actions.setAsDefaultAgent,Set as Default,設定為預設值
actions.unsetDefaultAgent,Unset Default,取消設定預設值
actions.clickToEdit,Click to edit,點選編輯
actions.move,Move,移動
actions.moveUp,Move up,向上移動
actions.moveDown,Move down,向下移動
actions.removeAssignee,Remove Assignee,移除被指派者
actions.sendMail,Send Mail,傳送郵件
actions.wait,Wait,等等
actions.followUp,Follow Up,跟進
actions.landingPage,Landing Page,著陸頁面
actions.generate,Generate,產生
actions.regenerate,Regenerate,重新產生
actions.qrCode,QR Code,QR Code
actions.addSequence,Add Sequence,新增序列
actions.removeSequence,Remove Sequence,移除序列
actions.activate,Activate,啟用
actions.deactivate,Deactivate,停用
actions.onFailure,On failure,失敗時
actions.onSkip,On skip,跳過
actions.onSuccess,On success,成功
actions.clone,Clone,複製
actions.remove,Remove,移除
actions.restore,Restore,還原
states.success,Success,成功
states.error,Error,錯誤
states.skip,Skip,跳過
admins.title,Admins,管理員
assignAdmin.assignConversation,Assign conversation,指派對話
assignAdmin.assignedToMe,Assigned to me,分配給我
assignAdmin.assignedTo,Assigned to {name},已指派給 {name}
assignAdmin.unAssigned,Unassigned,未分配
assignAdmin.user,User,使用者
aiAgent.defaultAgent,Default Agent,預設 AI Agent
aiAgent.description,Manage and configure AI Agents to enhance your workspace's capabilities with intelligent automation and responses.,管理與設定 AI Agent，以透過智慧自動化與回應提升工作區能力。
aiAgent.title,AI Agents,AI Agent
aiAgent.name,Agents,AI Agents
aiFiles.description,"Give Your Agents Access to PDFs, Docs, and More",讓您的Agent程式存取 PDF、檔案等
aiFiles.title,Knowledge,知識
aiFiles.noEmbeddingProvider,No embedding provider configured. AI file embeddings require OpenAI or Gemini integration. DeepSeek and Claude do not support embedding models.,尚未設定嵌入提供者。AI 檔案嵌入需要 OpenAI 或 Gemini 整合；DeepSeek 和 Claude 不支援嵌入模型。
aiFunctions.description,Configure LLM functions to make your AI agent more intelligent,設定 LLM 功能，讓您的 AI Agent 更加智能
aiFunctions.title,AI Functions,人工智慧功能
aiMcpServers.description,Connect AI to External Systems via MCP,透過 MCP 連接 AI 與外部系統。
aiMcpServers.title,MCP Servers,MCP 伺服器
aiMcpServers.tools.label,Available Tools,可用工具
analytics.contacts,Contacts,聯絡人
analytics.newContacts,New Contacts,新聯絡人
analytics.activeContacts,Active Contacts,活躍聯絡人
analytics.botMessagesByResult,Messages received by the bot,機器人收到的訊息
analytics.botMessagesNoResponse,Received messages with no response,收到訊息但沒有回覆
analytics.botMessagesWithResponse,Received messages with response,收到帶有回應的訊息
analytics.aiProvider,AI Provider,人工智慧供應商
analytics.responseCount,Response Count,回應計數
analytics.percentage,Percentage,百分比
analytics.responseTime,Response Time,回應時間
analytics.firstResponseTime,First Response Time,首次回應時間
analytics.totalContacts,Total Contacts,聯絡人總數
analytics.averageResponseTime,Average Response Time (Minutes),平均回應時間（分鐘）
analytics.averageResponseTimeHelp,The average time a human agent takes to reply to a customer's message.,真人客服回覆客戶訊息所需的平均時間。
analytics.averageFirstResponseTimeByAdmin,Average first response time by human agents (Minutes),真人客服的平均首次回應時間（分鐘）
analytics.averageFirstResponseTimeByAdminHelp,The average time a human agent takes to provide the initial reply to a customer's message.,真人客服對客戶訊息進行初步回覆所需的平均時間。
analytics.averageResponseTimeByAdmin,Average response time by human agents (Minutes),真人客服的平均回應時間（分鐘）
analytics.averageDurationOfConversation,Average duration of a conversation (Minutes),對話的平均持續時間（分鐘）
analytics.averageDurationOfConversationHelp,It is the average time a conversation has been handled by a human before being moved to the bot.,這是對話在轉移到機器人之前由人類處理的平均時間。
analytics.success,Success,成功
analytics.fallback,Fallback,預設回覆
analytics.admins,Human Agents,真人客服
analytics.messages,Messages,訊息
analytics.conversations,Conversations,對話
analytics.assignedConversations.title,Assigned Conversations,已指派的對話
analytics.assignedConversations.helpText,Conversations assigned from the inbox or by the bot.,從收件匣或機器人分配的對話。
analytics.messagesSentByHumanOrBot,Messages sent by human/bot,真人客服／機器人傳送的訊息
analytics.human,Human,真人客服
analytics.bot,Bot,機器人
analytics.conversationsMovedToHumanOrBot,Conversations moved to human/bot,轉交給真人客服／機器人的對話
analytics.uniqueConversationsByAdmins,Unique conversations by human agents,真人客服的不重複對話
analytics.uniqueConversationsByAdminsHelp,Number of contacts that a human agent sent at least a single message.,真人客服至少傳送一則訊息的聯絡人數量。
analytics.messagesSentByAdmins,Messages sent by human agents,真人客服傳送的訊息
analytics.messagesSentByAdminsHelp,Messages sent from the inbox.,從收件匣傳送的訊息。
analytics.allContactsByChannel,All contacts by channel,依頻道分類的所有聯絡人
analytics.newContactsByChannel,New contacts by channel,依頻道分類的新聯絡人
analytics.newContactsBySource,New contacts by source,依來源分類的新聯絡人
